#Date       Time        gpu        pid  type    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G     %     %     %     %   name
 20200522   14:17:06      0       3287     G     0     0     0     0   firefox        
 20200522   14:17:06      0       4227     G     0     0     0     0   firefox        
 20200522   14:17:06      0       7358     G     0     0     0     0   firefox        
 20200522   14:17:07      0       1494     G     0     0     0     0   Xorg           
 20200522   14:17:07      0       1646     G     0     0     0     0   gnome-shell    
 20200522   14:17:07      0       2154     G     0     0     0     0   Xorg           
 20200522   14:17:07      0       2380     G     0     0     0     0   gnome-shell    
#Date       Time        gpu        pid  type    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G     %     %     %     %   name
 20200522   14:17:07      0       2919     G     0     0     0     0   electron-ssr --
 20200522   14:17:07      0       2961     G     0     0     0     0   code --type=gpu
 20200522   14:17:07      0       3233     G     0     0     0     0   firefox        
 20200522   14:17:07      0       3287     G     0     0     0     0   firefox        
 20200522   14:17:07      0       4227     G     0     0     0     0   firefox        
 20200522   14:17:07      0       7358     G     0     0     0     0   firefox        
 20200522   14:17:08      0       1494     G     0     0     0     0   Xorg           
 20200522   14:17:08      0       1646     G     0     0     0     0   gnome-shell    
 20200522   14:17:08      0       2154     G     0     0     0     0   Xorg           
 20200522   14:17:08      0       2380     G     0     0     0     0   gnome-shell    
 20200522   14:17:08      0       2919     G     0     0     0     0   electron-ssr --
 20200522   14:17:08      0       2961     G     0     0     0     0   code --type=gpu
 20200522   14:17:08      0       3233     G     0     0     0     0   firefox        
 20200522   14:17:08      0       3287     G     0     0     0     0   firefox        
 20200522   14:17:08      0       4227     G     0     0     0     0   firefox        
 20200522   14:17:08      0       7358     G     0     0     0     0   firefox        
 20200522   14:17:09      0       1494     G     0     0     0     0   Xorg           
 20200522   14:17:09      0       1646     G     0     0     0     0   gnome-shell    
 20200522   14:17:09      0       2154     G     0     0     0     0   Xorg           
 20200522   14:17:09      0       2380     G     0     0     0     0   gnome-shell    
 20200522   14:17:09      0       2919     G     0     0     0     0   electron-ssr --
 20200522   14:17:09      0       2961     G     0     0     0     0   code --type=gpu
 20200522   14:17:09      0       3233     G     0     0     0     0   firefox        
 20200522   14:17:09      0       3287     G     0     0     0     0   firefox        
 20200522   14:17:09      0       4227     G     0     0     0     0   firefox        
 20200522   14:17:09      0       7358     G     0     0     0     0   firefox        
